person,technique,trial,t0,t1,latency_sec
A,T1059,1,1784262766,1784262795,29.154
A,T1059,2,1784262856,1784262885,29.031
A,T1059,3,1784263192,1784263221,29.615
A,T1059,4,1784263579,1784263609,29.914
A,T1059,5,1784264862,1784264891,29.702
A,T1059,6,1784264932,1784264961,28.831
A,T1059,7,1784264999,1784265027,28.411
A,T1059,8,1784265047,1784265075,28.657
A,T1059,9,1784265168,1784265197,29.178
A,T1059,10,1784265204,1784265233,29.248
A,T1021,1,1784266193,1784266194,0.244
A,T1021,2,1784266196,1784266196,0.338
A,T1021,3,1784266198,1784266199,0.343
A,T1021,4,1784266200,1784266200,0.316
A,T1021,5,1784266201,1784266201,0.306
A,T1021,6,1784266202,1784266203,0.32
A,T1021,7,1784266204,1784266204,0.343
A,T1021,8,1784266205,1784266205,0.353
A,T1021,9,1784266208,1784266208,0.374
A,T1021,10,1784266209,1784266210,0.4
A,T1610,1,1784266872,1784266872,0.499
A,T1610,2,1784266875,1784266875,0.421
A,T1610,3,1784266876,1784266876,0.416
A,T1610,4,1784266877,1784266878,0.469
A,T1610,5,1784266878,1784266879,0.447
A,T1610,6,1784266880,1784266880,0.489
A,T1610,7,1784266882,1784266882,0.409
A,T1610,8,1784266883,1784266883,0.441
A,T1610,9,1784266886,1784266886,0.41
A,T1610,10,1784266887,1784266888,0.485
A,T1552,1,1784267432,1784267433,0.382
A,T1552,2,1784267434,1784267434,0.39
A,T1552,3,1784267435,1784267436,0.349
A,T1552,4,1784267436,1784267437,0.338
A,T1552,5,1784267437,1784267438,0.366
A,T1552,6,1784267438,1784267439,0.324
A,T1552,7,1784267439,1784267440,0.351
A,T1552,8,1784267441,1784267441,0.366
A,T1552,9,1784267442,1784267442,0.438
A,T1552,10,1784267443,1784267443,0.356
